Case ID,Activity,Timestamp
C-0001,Order Received,2025-01-05 00:00:00
C-0001,Payment Verified,2025-01-06 17:09:00
C-0001,Item Picked,2025-01-07 10:16:00
C-0001,Item Packed,2025-01-08 09:01:00
C-0001,Shipped,2025-01-09 22:25:00
C-0001,Delivered,2025-01-10 22:30:00
C-0002,Order Received,2025-01-03 00:00:00
C-0002,Payment Verified,2025-01-04 16:21:00
C-0002,Item Picked,2025-01-06 00:15:00
C-0002,Item Packed,2025-01-07 15:47:00
C-0002,Shipped,2025-01-08 03:11:00
C-0002,Delivered,2025-01-08 09:08:00
C-0003,Order Received,2025-02-18 00:00:00
C-0003,Payment Verified,2025-02-18 04:55:00
C-0003,Item Picked,2025-02-19 08:59:00
C-0003,Item Packed,2025-02-21 02:36:00
C-0003,Shipped,2025-02-22 10:05:00
C-0003,Delivered,2025-02-23 11:20:00
C-0004,Order Received,2025-03-31 00:00:00
C-0004,Payment Verified,2025-04-01 20:11:00
C-0004,Item Picked,2025-04-02 22:28:00
C-0004,Item Packed,2025-04-04 07:56:00
C-0004,Shipped,2025-04-05 16:00:00
C-0004,Delivered,2025-04-06 11:13:00
C-0005,Order Received,2025-02-20 00:00:00
C-0005,Payment Verified,2025-02-21 20:40:00
C-0005,Item Picked,2025-02-22 02:44:00
C-0005,Item Packed,2025-02-23 09:37:00
C-0005,Shipped,2025-02-23 12:44:00
C-0005,Delivered,2025-02-24 07:22:00
C-0006,Order Received,2025-02-01 00:00:00
C-0006,Payment Verified,2025-02-01 12:32:00
C-0006,Item Picked,2025-02-02 06:58:00
C-0006,Quality Check,2025-02-03 11:43:00
C-0006,Item Packed,2025-02-03 20:28:00
C-0006,Shipped,2025-02-05 15:39:00
C-0006,Delivered,2025-02-07 07:24:00
C-0007,Order Received,2025-03-03 00:00:00
C-0007,Payment Verified,2025-03-04 03:05:00
C-0007,Item Picked,2025-03-04 22:59:00
C-0007,Item Packed,2025-03-05 18:17:00
C-0007,Shipped,2025-03-06 11:23:00
C-0007,Delivered,2025-03-08 05:31:00
C-0008,Order Received,2025-03-03 00:00:00
C-0008,Payment Verified,2025-03-03 16:20:00
C-0008,Item Picked,2025-03-05 13:06:00
C-0008,Item Packed,2025-03-07 09:20:00
C-0008,Shipped,2025-03-08 05:50:00
C-0008,Delivered,2025-03-09 04:11:00
C-0009,Order Received,2025-02-02 00:00:00
C-0009,Payment Verified,2025-02-03 20:38:00
C-0009,Item Picked,2025-02-04 21:15:00
C-0009,Item Packed,2025-02-05 14:53:00
C-0009,Shipped,2025-02-07 15:19:00
C-0009,Delivered,2025-02-08 09:30:00
C-0010,Order Received,2025-02-01 00:00:00
C-0010,Payment Verified,2025-02-01 06:00:00
